date, pm25, pm10, o3, no2
2025/6/2, 30, 12, , 3
2025/6/3, 31, 11, , 2
2025/6/4, 35, 12, , 2
2025/6/5, 34, 6, , 2
2025/6/6, 18, 10, , 1
2025/6/7, 27, 6, , 3
2025/6/8, 19, 12, , 2
2025/6/9, 25, 17, , 2
2025/6/10, 53, 11, , 2
2025/6/11, 39, 10, , 6
2025/6/12, 22, 9, , 4
2025/6/13, 20, 11, , 3
2025/6/14, 28, 10, , 3
2025/6/15, 30, 15, , 2
2025/6/16, 36, 15, , 4
2025/6/17, 47, 14, , 1
2025/6/18, 35, 10, , 1
2025/6/19, 24, 10, , 5
2025/6/20, 25, 11, , 1
2025/6/21, 31, 12, , 2
2025/6/22, 33, 14, , 1
2025/6/23, 35, 14, , 1
2025/6/24, 28, 11, , 
2025/6/25, 26, 11, , 
2025/6/26, 30, 13, , 1
2025/6/27, 32, 12, , 2
2025/6/28, 37, 23, , 1
2025/6/29, 52, 11, , 
2025/6/30, 28, 17, , 4
2025/1/1, 25, 6, , 5
2025/1/2, 17, 6, , 3
2025/1/3, 14, 7, , 6
2025/1/4, 18, 7, , 8
2025/1/5, 21, 2, , 1
2025/1/6, 8, 15, , 
2025/1/7, 37, 9, , 5
2025/1/8, 25, 7, , 10
2025/1/9, 18, 5, , 4
2025/1/10, 14, 5, , 2
2025/1/11, 6, 7, , 12
2025/1/12, 19, 10, , 3
2025/1/13, 31, 14, , 7
2025/1/14, 39, 13, , 14
2025/1/15, 38, 11, , 5
2025/1/16, 39, 19, , 6
2025/1/17, 58, 13, , 8
2025/1/18, 42, 13, , 1
2025/1/19, 51, 9, , 7
2025/1/20, 20, 14, , 5
2025/1/21, 48, 16, , 6
2025/1/22, 57, 7, , 8
2025/1/23, 24, 13, , 3
2025/1/24, 44, 22, , 2
2025/1/25, 57, 19, , 2
2025/1/26, 48, 8, , 2
2025/1/27, 25, 10, , 5
2025/1/28, 32, 8, , 9
2025/1/29, 18, 8, , 9
2025/1/30, 26, 8, , 6
2025/1/31, 24, 10, , 7
2025/2/1, 26, 9, , 5
2025/2/2, 34, 17, , 4
2025/2/3, 57, 33, , 6
2025/2/4, 95, 25, , 8
2025/2/5, 64, 18, , 18
2025/2/6, 31, 8, , 8
2025/2/7, 17, 11, , 3
2025/2/8, 40, 18, , 3
2025/2/9, 60, 14, , 5
2025/2/10, 39, 6, , 4
2025/2/11, 23, , , 6
2025/2/14, 46, 11, , 2
2025/2/15, 18, 12, , 2
2025/2/16, 20, 19, , 6
2025/2/17, 28, 25, , 10
2025/2/18, 41, 15, , 13
2025/2/19, 43, 14, , 3
2025/2/20, 28, 26, , 5
2025/2/21, 81, 25, , 3
2025/2/22, 80, 14, , 6
2025/2/23, 52, 13, , 3
2025/2/24, 48, 9, , 5
2025/2/25, 38, 12, , 4
2025/2/26, 39, 20, , 11
2025/2/27, 32, 12, , 9
2025/2/28, 25, 10, , 5
2025/3/1, 32, 18, , 5
2025/3/2, 44, 21, , 7
2025/3/3, 49, 19, , 6
2025/3/4, 46, 23, , 3
2025/3/5, 58, 28, , 4
2025/3/6, 71, 47, , 8
2025/3/7, 125, 18, , 9
2025/3/8, 55, 20, , 12
2025/3/9, 47, 23, , 9
2025/3/10, 40, 6, , 3
2025/3/11, 14, 2, , 5
2025/3/12, 7, 4, , 3
2025/3/13, 12, 17, , 12
2025/3/14, 24, 12, , 8
2025/3/15, 26, 11, , 2
2025/3/16, 19, 18, , 8
2025/3/17, 29, 14, , 11
2025/3/18, 33, 18, , 7
2025/3/19, 42, 18, , 10
2025/3/20, 46, 16, , 6
2025/3/21, 32, 9, , 1
2025/3/22, 20, 12, , 1
2025/3/23, 33, 25, , 6
2025/3/24, 52, 17, , 4
2025/3/25, 57, 13, , 8
2025/3/26, 25, 20, , 3
2025/3/27, 57, 31, , 2
2025/3/28, 84, 14, , 4
2025/3/29, 40, 11, , 2
2025/3/30, 30, , , 
2024/10/1, 8, 9, , 7
2024/10/2, 11, 14, , 12
2024/10/3, 20, 12, , 7
2024/10/4, 27, 7, , 3
2024/10/5, 23, 6, , 1
2024/10/6, 21, 5, , 2
2024/10/7, 13, 7, , 2
2024/10/8, 24, 14, , 3
2024/10/9, 50, 8, , 5
2024/10/10, 21, 8, , 3
2024/10/11, 16, 9, , 1
2024/10/12, 22, 6, , 2
2024/10/13, 19, 9, , 11
2024/10/14, 25, 18, , 10
2024/10/15, 37, 8, , 4
2024/10/16, 18, 10, , 3
2024/10/17, 31, 18, , 4
2024/10/18, 55, 19, , 2
2024/10/19, 55, 15, , 3
2024/10/20, 51, 17, , 1
2024/10/21, 46, 17, , 3
2024/10/22, 43, 18, , 7
2024/10/23, 40, 16, , 3
2024/10/24, 48, 22, , 3
2024/10/25, 64, 17, , 5
2024/10/26, 60, 17, , 2
2024/10/27, 50, 16, , 4
2024/10/28, 34, 6, , 6
2024/10/29, 19, 21, , 2
2024/10/30, 44, 17, , 7
2024/10/31, 39, 17, , 3
2024/11/1, 39, 10, , 6
2024/11/2, 24, 14, , 4
2024/11/3, 32, 9, , 7
2024/11/4, 24, 6, , 3
2024/11/5, 21, 6, , 5
2024/11/6, 22, 18, , 9
2024/11/7, 32, 12, , 6
2024/11/8, 26, 6, , 2
2024/11/9, 16, 12, , 2
2024/11/10, 40, 17, , 9
2024/11/11, 42, 13, , 8
2024/11/12, 31, 14, , 6
2024/11/13, 43, 25, , 19
2024/11/14, 39, 20, , 12
2024/11/15, 43, 14, , 4
2024/11/16, 33, 14, , 3
2024/11/17, 32, 29, , 20
2024/11/18, 35, 6, , 11
2024/11/19, 16, 9, , 8
2024/11/20, 15, 17, , 11
2024/11/21, 21, 45, , 23
2024/11/22, 52, , , 4
2024/11/26, 34, 9, , 5
2024/11/27, 23, 6, , 5
2024/11/28, 9, 9, , 6
2024/11/29, 26, 12, , 2
2024/11/30, 40, 16, , 4
2024/12/1, 56, 13, , 3
