date, pm25, pm10, o3, no2
2023/6/12, 26, 20, , 6
2023/6/13, 32, 22, , 7
2023/6/14, 38, 22, , 8
2023/6/15, 45, 20, , 5
2023/6/16, 44, 20, , 4
2023/6/17, 51, 11, , 2
2023/6/18, 35, 15, , 2
2023/6/19, 47, 18, , 4
2023/6/20, 53, 18, , 3
2023/6/21, 50, 13, , 2
2023/6/22, 27, 9, , 
2023/6/23, 20, 14, , 
2023/6/24, 30, 11, , 4
2023/6/25, 33, 13, , 3
2023/6/26, 26, 8, , 3
2023/6/27, 17, 13, , 5
2023/6/28, 30, 10, , 3
2023/6/29, 35, 16, , 3
2023/6/30, 39, 13, , 1
2023/1/2, 19, 5, , 5
2023/1/3, 14, 4, , 4
2023/1/4, 10, 4, , 4
2023/1/5, 13, 4, , 1
2023/1/6, 12, 13, , 3
2023/1/7, 24, 11, , 2
2023/1/8, 37, 9, , 3
2023/1/9, 24, 11, , 5
2023/1/10, 18, 13, , 2
2023/1/11, 22, 11, , 3
2023/1/12, 19, 10, , 2
2023/1/13, 17, 10, , 4
2023/1/14, 17, 12, , 1
2023/1/15, 14, 11, , 3
2023/1/16, 14, 7, , 2
2023/1/17, 20, 9, , 2
2023/1/18, 16, 11, , 6
2023/1/19, 33, 11, , 6
2023/1/20, 36, 7, , 2
2023/1/21, 23, 6, , 3
2023/1/22, 17, 9, , 5
2023/1/23, 25, 11, , 3
2023/1/24, 27, 16, , 2
2023/1/25, 40, 8, , 10
2023/1/26, 15, 14, , 15
2023/1/27, 29, 10, , 5
2023/1/28, 13, 13, , 3
2023/1/29, 18, 16, , 2
2023/1/30, 18, 11, , 3
2023/1/31, 15, 15, , 4
2023/2/1, 20, 14, , 10
2023/2/2, 17, 4, , 4
2023/2/3, 14, 7, , 8
2023/2/4, 23, 6, , 5
2023/2/5, 18, 10, , 7
2023/2/6, 31, 16, , 3
2023/2/7, 28, 28, , 5
2023/2/8, 58, 24, , 5
2023/2/9, 46, 13, , 2
2023/2/10, 14, 20, , 6
2023/2/11, 25, 17, , 8
2023/2/12, 18, 18, , 8
2023/2/13, 23, 16, , 5
2023/2/14, 36, 21, , 3
2023/2/15, 60, 37, , 6
2023/2/16, 87, 12, , 3
2023/2/17, 25, 13, , 1
2023/2/18, 12, 10, , 2
2023/2/19, 15, 22, , 2
2023/2/20, 28, 20, , 5
2023/2/21, 14, 9, , 2
2023/2/22, 13, 9, , 3
2023/2/23, 26, 2, , 3
2023/2/24, 3, 7, , 2
2023/2/25, 8, 10, , 3
2023/2/26, 8, 26, , 19
2023/2/27, 31, 22, , 21
2023/2/28, 45, 22, , 14
2023/3/1, 27, 22, , 17
2023/3/2, 29, 16, , 14
2023/3/3, 29, 16, , 3
2023/3/4, 10, 10, , 3
2023/3/5, 12, 21, , 15
2023/3/6, 21, 6, , 3
2023/3/7, 9, 8, , 11
2023/3/8, 19, 8, , 9
2023/3/9, 17, 9, , 11
2023/3/10, 28, 8, , 5
2023/3/11, 21, 7, , 1
2023/3/12, 13, 6, , 2
2023/3/13, 16, 10, , 3
2023/3/14, 14, 15, , 7
2023/3/15, 16, 16, , 11
2023/3/16, 20, 12, , 3
2023/3/17, 31, 22, , 8
2023/3/18, 63, 11, , 2
2023/3/19, 32, 16, , 5
2023/3/20, 34, 8, , 3
2023/3/21, 17, 13, , 3
2023/3/22, 35, 12, , 5
2023/3/23, 18, 13, , 4
2023/3/24, 17, 14, , 3
2023/3/25, 21, 1, , 1
2022/10/1, 29, 10, , 2
2022/10/2, 20, 17, , 10
2022/10/3, 32, 15, , 5
2022/10/4, 31, 15, , 2
2022/10/5, 30, 7, , 4
2022/10/6, 24, 19, , 2
2022/10/7, 32, 8, , 2
2022/10/8, 12, 7, , 1
2022/10/9, 13, 13, , 3
2022/10/10, 22, 12, , 2
2022/10/11, 16, 10, , 4
2022/10/12, 17, 20, , 4
2022/10/13, 36, 16, , 4
2022/10/14, 33, 14, , 3
2022/10/15, 40, 12, , 2
2022/10/16, 20, 15, , 5
2022/10/17, 19, 11, , 4
2022/10/18, 10, 13, , 11
2022/10/19, 20, 8, , 4
2022/10/20, 17, 9, , 3
2022/10/21, 26, 7, , 6
2022/10/22, 24, 11, , 2
2022/10/23, 25, 8, , 2
2022/10/24, 17, 12, , 5
2022/10/25, 19, 11, , 5
2022/10/26, 21, 22, , 3
2022/10/27, 40, 17, , 4
2022/10/28, 42, 18, , 4
2022/10/29, 23, 15, , 3
2022/10/30, 25, 18, , 5
2022/10/31, 46, 11, , 2
2022/11/1, 20, 12, , 4
2022/11/2, 15, 14, , 3
2022/11/3, 19, 9, , 1
2022/11/4, 17, , , 
2022/11/7, 14, 12, , 3
2022/11/8, 17, 14, , 3
2022/11/9, 24, 12, , 4
2022/11/10, 16, 17, , 2
2022/11/11, 23, 18, , 4
2022/11/12, 26, 8, , 7
2022/11/13, 19, 6, , 2
2022/11/14, 14, 6, , 1
2022/11/15, 17, 3, , 1
2022/11/16, 7, 3, , 1
2022/11/17, 8, 5, , 3
2022/11/18, 7, 5, , 1
2022/11/19, 8, 3, , 2
2022/11/20, 8, 4, , 4
2022/11/21, 12, 6, , 3
2022/11/22, 24, 8, , 2
2022/11/23, 29, 11, , 2
2022/11/24, 39, 8, , 1
2022/11/25, 26, 10, , 2
2022/11/26, 27, 8, , 2
2022/11/27, 19, 7, , 1
2022/11/28, 16, 8, , 4
2022/11/29, 13, 16, , 6
2022/11/30, 25, 9, , 6
2022/12/1, 21, 7, , 4
2022/12/2, 15, 12, , 3
2022/12/3, 34, 6, , 1
2022/12/4, 16, 14, , 5
2022/12/5, 22, 17, , 10
2022/12/6, 30, 10, , 15
2022/12/7, 22, 9, , 6
2022/12/8, 28, 6, , 8
2022/12/9, 15, 9, , 6
2022/12/10, 31, 5, , 6
2022/12/11, 22, 7, , 6
2022/12/12, 19, 11, , 10
2022/12/13, 27, 10, , 7
2022/12/14, 30, 14, , 18
2022/12/15, 41, 16, , 15
2022/12/16, 52, 18, , 4
2022/12/17, 50, 18, , 4
2022/12/18, 43, 12, , 4
2022/12/19, 40, 9, , 5
2022/12/20, 29, 13, , 3
2022/12/21, 24, 13, , 3
2022/12/22, 23, 5, , 8
2022/12/23, 12, 5, , 8
2022/12/24, 17, 5, , 2
2022/12/25, 19, 6, , 2
2022/12/26, 15, 13, , 3
2022/12/27, 17, 6, , 5
2022/12/28, 14, 9, , 2
2022/12/29, 20, 13, , 2
2022/12/30, 22, 16, , 2
2022/12/31, 26, 10, , 3
2023/1/1, 25, 11, , 7
2022/7/1, 35, , , 
2022/7/4, 15, 8, , 3
2022/7/5, 11, 10, , 3
2022/7/6, 14, 5, , 2
2022/7/7, 8, 10, , 3
2022/7/8, 18, 9, , 2
2022/7/9, 14, 5, , 2
2022/7/10, 10, 9, , 3
2022/7/11, 17, 11, , 3
2022/7/12, 20, 17, , 4
2022/7/13, 32, 12, , 2
2022/7/14, 14, 7, , 2
2022/7/15, 13, 6, , 2
2022/7/16, 13, 11, , 2
2022/7/17, 21, 14, , 3
2022/7/18, 36, 14, , 8
2022/7/19, 38, 18, , 3
2022/7/20, 46, 22, , 6
2022/7/21, 59, 18, , 1
2022/7/22, 38, 4, , 1
2022/7/23, 10, 9, , 1
2022/7/24, 22, 10, , 3
2022/7/25, 32, 10, , 3
2022/7/26, 17, 6, , 2
2022/7/27, 9, 11, , 6
2022/7/28, 20, 11, , 6
2022/7/29, 22, 9, , 2
2022/7/30, 24, 10, , 1
2022/7/31, 25, 10, , 3
2022/8/1, 21, 10, , 3
2022/8/2, 17, 16, , 3
2022/8/3, 38, 13, , 2
2022/8/4, 27, 7, , 3
2022/8/5, 13, 9, , 
2022/8/6, 15, 10, , 1
2022/8/7, 25, 8, , 2
2022/8/8, 16, 9, , 3
2022/8/9, 20, 8, , 2
2022/8/10, 24, 8, , 5
2022/8/11, 20, 11, , 10
2022/8/12, 24, 16, , 6
2022/8/13, 37, 15, , 6
2022/8/14, 41, 18, , 3
2022/8/15, 37, , , 
2022/8/17, 53, 14, , 6
2022/8/18, 33, 11, , 3
2022/8/19, 31, 6, , 1
2022/8/20, 16, 14, , 2
2022/8/21, 44, 13, , 4
2022/8/22, 36, 18, , 7
2022/8/23, 45, 18, , 8
2022/8/24, 51, 21, , 6
2022/8/25, 56, 18, , 4
2022/8/26, 51, 16, , 3
2022/8/27, 52, 11, , 1
2022/8/28, 40, 13, , 3
2022/8/29, 29, 15, , 5
2022/8/30, 37, 14, , 6
2022/8/31, 39, 16, , 6
2022/9/1, 37, 12, , 3
2022/9/2, 31, 10, , 2
2022/9/3, 37, 9, , 1
2022/9/4, 32, 11, , 2
2022/9/5, 37, 11, , 6
2022/9/6, 35, 12, , 5
2022/9/7, 34, 9, , 1
2022/9/8, 31, 10, , 3
2022/9/9, 32, 9, , 1
2022/9/10, 35, 12, , 3
2022/9/11, 39, 14, , 3
2022/9/12, 44, 12, , 3
2022/9/13, 33, 12, , 2
2022/9/14, 29, 10, , 4
2022/9/15, 31, 8, , 4
2022/9/16, 24, 6, , 3
2022/9/17, 22, 7, , 5
2022/9/18, 24, 7, , 3
2022/9/19, 17, 8, , 6
2022/9/20, 17, 15, , 8
2022/9/21, 26, 11, , 3
2022/9/22, 27, 15, , 4
2022/9/23, 36, 14, , 3
2022/9/24, 42, 13, , 3
2022/9/25, 42, 6, , 2
2022/9/26, 17, 6, , 1
2022/9/27, 19, 10, , 1
2022/9/28, 29, 8, , 3
2022/9/29, 14, 11, , 4
2022/9/30, 22, 9, , 2
2022/4/1, 16, 13, , 7
2022/4/2, 22, , , 
2022/4/4, 8, 10, , 4
2022/4/5, 11, 6, , 5
2022/4/6, 16, 7, , 6
2022/4/7, 20, 5, , 3
2022/4/8, 13, 9, , 
2022/4/9, 15, 10, , 1
2022/4/10, 14, 12, , 3
2022/4/11, 17, 29, , 13
2022/4/12, 25, 19, , 4
2022/4/13, 40, 22, , 6
2022/4/14, 65, 7, , 1
2022/4/15, 19, 10, , 5
2022/4/16, 26, 10, , 6
2022/4/17, 30, 21, , 5
2022/4/18, 50, 26, , 8
2022/4/19, 38, 19, , 4
2022/4/20, 19, 19, , 3
2022/4/21, 21, 21, , 3
2022/4/22, 23, 18, , 1
2022/4/23, 13, 9, , 
2022/4/24, 14, 16, , 5
2022/4/25, 25, 19, , 7
2022/4/26, 22, 14, , 6
2022/4/27, 15, 14, , 3
2022/4/28, 26, 16, , 6
2022/4/29, 27, 9, , 2
2022/4/30, 19, 11, , 6
2022/5/1, 26, 19, , 3
2022/5/2, 33, 14, , 3
2022/5/3, 15, 17, , 5
2022/5/4, 32, 14, , 4
2022/5/5, 31, 15, , 4
2022/5/6, 33, 9, , 3
2022/5/7, 23, 10, , 4
2022/5/8, 20, 11, , 1
2022/5/9, 22, 16, , 3
2022/5/10, 37, 17, , 2
2022/5/11, 40, 14, , 3
2022/5/12, 23, 12, , 3
2022/5/13, 24, 16, , 1
2022/5/14, 30, 8, , 1
2022/5/15, 19, 10, , 3
2022/5/16, 20, 12, , 4
2022/5/17, 19, 15, , 1
2022/5/18, 26, 25, , 8
2022/5/19, 59, 11, , 4
2022/5/20, 29, 13, , 5
2022/5/21, 30, , , 
2022/5/23, 25, 11, , 2
2022/5/24, 29, 8, , 1
2022/5/25, 20, 14, , 1
2022/5/26, 21, 11, , 1
2022/5/27, 18, 6, , 1
2022/5/28, 15, 8, , 2
2022/5/29, 22, 11, , 4
2022/5/30, 23, 13, , 7
2022/5/31, 34, 9, , 3
2022/6/1, 21, 11, , 4
2022/6/2, 27, 13, , 5
2022/6/3, 29, 13, , 3
2022/6/4, 36, 13, , 2
2022/6/5, 43, 11, , 2
2022/6/6, 32, 10, , 2
2022/6/7, 31, 9, , 1
2022/6/8, 25, 12, , 4
2022/6/9, 33, 13, , 4
2022/6/10, 39, 16, , 2
2022/6/11, 37, 14, , 1
2022/6/12, 27, 15, , 3
2022/6/13, 22, 12, , 2
2022/6/14, 21, 12, , 3
2022/6/15, 27, 13, , 3
2022/6/16, 30, 16, , 5
2022/6/17, 41, 19, , 2
2022/6/18, 39, 11, , 2
2022/6/19, 23, 10, , 3
2022/6/20, 22, 14, , 5
2022/6/21, 25, 11, , 4
2022/6/22, 22, 10, , 3
2022/6/23, 26, 11, , 1
2022/6/24, 32, 19, , 3
2022/6/25, 51, 22, , 3
2022/6/26, 63, 24, , 4
2022/6/27, 60, 11, , 3
2022/6/28, 27, 13, , 6
2022/6/29, 31, 14, , 4
2022/6/30, 36, 12, , 3
2022/1/3, 24, 10, , 2
2022/1/4, 19, 6, , 7
2022/1/5, 13, 9, , 11
2022/1/6, 19, 11, , 4
2022/1/7, 33, 4, , 3
2022/1/8, 12, 5, , 1
2022/1/9, 18, 6, , 4
2022/1/10, 25, 14, , 3
2022/1/11, 46, 12, , 7
2022/1/12, 23, 15, , 4
2022/1/13, 21, 16, , 2
2022/1/14, 21, 16, , 9
2022/1/15, 27, 12, , 1
2022/1/16, 23, 17, , 4
2022/1/17, 16, 18, , 14
2022/1/18, 28, 15, , 3
2022/1/19, 30, 22, , 2
2022/1/20, 13, 13, , 11
2022/1/21, 19, 10, , 5
2022/1/22, 24, 7, , 4
2022/1/23, 22, 12, , 7
2022/1/24, 22, 14, , 11
2022/1/25, 23, 21, , 4
2022/1/26, 33, 14, , 2
2022/1/27, 20, 13, , 5
2022/1/28, 16, 12, , 1
2022/1/29, 20, 12, , 1
2022/1/30, 13, 31, , 16
2022/1/31, 24, 9, , 13
2022/2/1, 20, 7, , 9
2022/2/2, 20, 6, , 9
2022/2/3, 14, 5, , 5
2022/2/4, 22, 4, , 2
2022/2/5, 3, 1, , 2
2022/2/6, 8, 4, , 4
2022/2/7, 7, 6, , 3
2022/2/8, 10, 1, , 1
2022/2/28, 13, 6, , 4
2022/3/1, 42, 4, , 11
2022/3/2, 19, 5, , 13
2022/3/3, 10, 15, , 15
2022/3/4, 12, 12, , 6
2022/3/5, 14, 4, , 5
2022/3/6, 20, 23, , 24
2022/3/7, 29, 16, , 9
2022/3/8, 41, 30, , 13
2022/3/9, 54, 15, , 5
2022/3/10, 31, 16, , 2
2022/3/11, 36, 14, , 2
2022/3/12, 33, 14, , 1
2022/3/13, 36, 29, , 8
2022/3/14, 55, 43, , 11
2022/3/15, 86, 24, , 5
2022/3/16, 66, , , 
2022/3/18, 23, 21, , 11
2022/3/19, 30, 22, , 7
2022/3/20, 41, 32, , 3
2022/3/21, 71, 40, , 8
2022/3/22, 89, 33, , 20
2022/3/23, 80, 38, , 12
2022/3/24, 81, 37, , 7
2022/3/25, 78, 12, , 3
2022/3/26, 15, 26, , 9
2022/3/27, 12, , , 
2021/10/1, 8, , , 3
2021/10/2, 7, , , 1
2021/10/3, 4, , , 2
2021/10/27, 19, 14, , 3
2021/10/28, 35, 20, , 5
2021/10/29, 57, 21, , 3
2021/10/30, 62, 15, , 2
2021/10/31, 40, 15, , 2
2021/11/1, 42, 11, , 5
2021/11/2, 23, 11, , 8
2021/11/3, 28, 19, , 9
2021/11/4, 46, 9, , 4
2021/11/5, 17, 11, , 1
2021/11/6, 19, 8, , 2
2021/11/7, 19, 4, , 4
2021/11/8, 11, 6, , 3
2021/11/9, 14, 10, , 5
2021/11/10, 15, 12, , 4
2021/11/11, 17, 16, , 12
2021/11/12, 19, 7, , 2
2021/11/13, 18, 6, , 3
2021/11/14, 16, 8, , 3
2021/11/15, 19, 15, , 5
2021/11/16, 52, 12, , 3
2021/11/17, 37, 9, , 3
2021/11/18, 12, 20, , 3
2021/11/19, 31, 10, , 6
2021/11/20, 22, 5, , 4
2021/11/21, 13, 8, , 10
2021/11/22, 14, 9, , 19
2021/11/23, 21, 8, , 3
2021/11/24, 14, 7, , 5
2021/11/25, 13, 4, , 7
2021/11/26, 12, 3, , 4
2021/11/27, 12, 3, , 4
2021/11/28, 12, 8, , 11
2021/11/29, 22, 6, , 7
2021/11/30, 17, 4, , 8
2021/12/1, 13, 6, , 14
2021/12/2, 17, 6, , 17
2021/12/3, 25, 4, , 4
2021/12/4, 16, 3, , 3
2021/12/5, 12, 4, , 7
2021/12/6, 15, 3, , 3
2021/12/7, 12, 8, , 3
2021/12/8, 30, 9, , 5
2021/12/9, 33, 14, , 6
2021/12/10, 44, 18, , 8
2021/12/11, 52, 12, , 6
2021/12/12, 47, 8, , 6
2021/12/13, 31, 13, , 8
2021/12/14, 21, 13, , 5
2021/12/15, 21, 19, , 3
2021/12/16, 28, 20, , 26
2021/12/17, 38, 8, , 8
2021/12/18, 27, 10, , 4
2021/12/19, 8, 22, , 17
2021/12/20, 22, 8, , 10
2021/12/21, 19, 4, , 3
2021/12/22, 15, 12, , 6
2021/12/23, 40, 7, , 4
2021/12/24, 13, 15, , 20
2021/12/25, 38, 13, , 17
2021/12/26, 47, 5, , 3
2021/12/27, 17, 12, , 4
2021/12/28, 44, 16, , 6
2021/12/29, 57, 18, , 3
2021/12/30, 39, 5, , 4
2021/12/31, 17, 6, , 2
2022/1/1, 16, 12, , 3
2022/1/2, 34, 13, , 2
2021/8/20, 9, 9, , 5
2021/8/21, 19, 5, , 4
2021/8/22, 15, 10, , 6
2021/8/23, 20, 13, , 8
2021/8/24, 29, 15, , 3
2021/8/25, 19, 12, , 2
2021/8/26, 11, 3, , 1
2021/8/27, 8, 2, , 
2021/8/28, 11, 7, , 1
2021/8/29, 30, 10, , 6
2021/8/30, 25, 16, , 7
2021/8/31, 27, 12, , 9
2021/9/1, 17, 15, , 9
2021/9/2, 27, 11, , 6
2021/9/3, 20, 3, , 3
2021/9/4, 7, 4, , 4
2021/9/5, 9, 4, , 3
2021/9/6, 12, 9, , 5
2021/9/7, 25, 16, , 5
2021/9/8, 56, 25, , 4
2021/9/9, 75, 23, , 8
2021/9/10, 65, 16, , 4
2021/9/11, 66, 8, , 3
2021/9/12, 45, 6, , 3
2021/9/13, 27, 7, , 6
2021/9/14, 21, 6, , 5
2021/9/15, 20, 1, , 2
2021/9/16, 9, 1, , 2
2021/9/17, 7, 1, , 1
2021/9/18, 8, 1, , 2
2021/9/19, 7, 2, , 4
2021/9/20, 7, 4, , 5
2021/9/21, 17, 7, , 7
2021/9/22, 25, 5, , 2
2021/9/23, 16, 7, , 6
2021/9/24, 12, 7, , 2
2021/9/25, 20, 3, , 6
2021/9/26, 14, 3, , 2
2021/9/27, 14, 8, , 6
2021/9/28, 10, 6, , 5
2021/9/29, 11, 4, , 3
2021/9/30, 19, , , 2
2021/4/6, 8, 6, 28, 5
2021/4/7, 2, 6, 35, 5
2021/4/8, 6, 7, 34, 3
2021/4/9, 10, 3, 34, 2
2021/4/10, 8, 3, 30, 3
2021/4/11, 5, 1, 35, 4
2021/4/12, 7, 2, 37, 3
2021/4/13, 7, 12, 36, 13
2021/4/14, 11, 14, 35, 10
2021/4/15, 10, 13, 36, 8
2021/4/16, 11, 4, 34, 2
2021/4/17, 10, 4, 39, 2
2021/4/18, 10, 10, 39, 5
2021/4/19, 10, 12, 36, 10
2021/4/20, 13, 13, 41, 4
2021/4/21, 18, 7, 38, 2
2021/4/22, 7, 5, 48, 4
2021/4/23, 8, 3, 37, 3
2021/4/24, 7, 3, 38, 1
2021/4/25, 4, 5, 41, 6
2021/4/26, 5, 25, 40, 11
2021/4/27, 8, 37, 41, 10
2021/4/28, 8, 11, 43, 3
2021/4/29, 10, 6, 43, 3
2021/4/30, 7, 7, 43, 5
2021/5/1, 14, 7, 50, 4
2021/5/2, 15, 5, 44, 4
2021/5/3, 8, 3, 38, 3
2021/5/4, 11, 1, 33, 5
2021/5/5, 4, 2, 32, 5
2021/5/6, 3, 5, 39, 7
2021/5/7, 7, 7, 46, 4
2021/5/8, 11, 5, 49, 1
2021/5/9, 15, 6, 45, 3
2021/5/10, 19, 1, 39, 7
2021/5/11, 8, 3, 32, 5
2021/5/12, 14, , , 
2021/1/4, 6, 4, 14, 3
2021/1/5, 12, 4, 16, 1
2021/1/6, 13, 5, 15, 4
2021/1/7, 17, 3, 14, 5
2021/1/8, 12, 5, 13, 4
2021/1/9, 22, 8, 22, 4
2021/1/10, 22, 6, 25, 2
2021/1/11, 12, 6, 22, 10
2021/1/12, 11, 7, 19, 12
2021/1/13, 17, 7, 21, 4
2021/1/14, 20, 10, 17, 10
2021/1/15, 24, 11, 14, 13
2021/1/16, 34, 5, 17, 3
2021/1/17, 21, 13, 17, 6
2021/1/18, 46, 5, 15, 7
2021/1/19, 18, 3, 19, 4
2021/1/20, 12, 9, 25, 3
2021/1/21, 23, 6, 23, 4
2021/1/22, 14, , , 
2021/1/24, 22, 10, 13, 12
2021/1/25, 24, 7, 20, 7
2021/1/26, 15, 13, 14, 17
2021/1/27, 36, 8, 18, 8
2021/1/28, 19, 6, 15, 16
2021/1/29, 23, , , 
2021/2/1, 28, 11, 16, 14
2021/2/2, 33, 5, 17, 6
2021/2/3, 21, 6, 22, 4
2021/2/4, 22, 9, 20, 13
2021/2/5, 27, 7, 24, 9
2021/2/6, 24, 5, 26, 6
2021/2/7, 19, 5, 28, 8
2021/2/8, 14, 5, 27, 4
2021/2/9, 10, , , 
2021/2/11, 20, 30, 12, 25
2021/2/12, 40, 20, 23, 17
2021/2/13, 41, 15, 22, 18
2021/2/14, 47, 13, 27, 5
2021/2/15, 29, 7, 28, 4
2021/2/16, 28, 13, 28, 4
2021/2/17, 51, 12, 29, 3
2021/2/18, 48, 16, 24, 5
2021/2/19, 51, 15, 21, 6
2021/2/20, 42, 20, 19, 6
2021/2/21, 53, 25, 23, 11
2021/2/22, 66, 19, 23, 8
2021/2/23, 55, 26, 27, 5
2021/2/24, 63, 18, 33, 6
2021/2/25, 42, 17, 36, 4
2021/2/26, 20, 20, 32, 15
2021/2/27, 37, 11, 29, 7
2021/2/28, 29, 12, 41, 8
2021/3/1, 28, 12, 44, 9
2021/3/2, 27, 10, 43, 3
2021/3/3, 38, 19, 43, 6
2021/3/4, 18, 20, 47, 13
2021/3/5, 19, 10, 51, 4
2021/3/6, 14, 13, 49, 3
2021/3/7, 15, 24, 43, 16
2021/3/8, 23, 18, 42, 13
2021/3/9, 27, 18, 47, 8
2021/3/10, 29, 6, 47, 3
2021/3/11, 11, 15, 45, 7
2021/3/12, 12, 7, 46, 2
2021/3/13, 11, 4, 47, 3
2021/3/14, 11, 3, 45, 9
2021/3/15, 6, 16, 40, 9
2021/3/16, 5, 19, 50, 12
2021/3/17, 13, 20, 47, 15
2021/3/18, 10, 13, 47, 6
2021/3/19, 6, 7, 48, 3
2021/3/20, 11, 6, 58, 2
2021/3/21, 7, 7, 44, 12
2021/3/22, 6, 7, 48, 6
2021/3/23, 9, 8, 50, 3
2021/3/24, 26, , , 
2020/10/1, 27, 51, 23, 3
2020/10/2, 66, 42, 20, 2
2020/10/3, 74, 11, 17, 2
2020/10/4, 38, 6, 17, 4
2020/10/5, 13, 8, 20, 4
2020/10/6, 20, 7, 22, 3
2020/10/7, 20, 7, 22, 2
2020/10/8, 14, 7, 24, 1
2020/10/9, 13, , , 
2020/10/19, 25, 11, 18, 6
2020/10/20, 34, 19, 11, 5
2020/10/21, 51, 5, 23, 3
2020/10/22, 14, 12, 33, 5
2020/10/23, 19, 9, 20, 3
2020/10/24, 21, 9, 23, 1
2020/10/25, 22, 8, 19, 4
2020/10/26, 21, 10, 20, 3
2020/10/27, 25, 11, 21, 2
2020/10/28, 22, 10, 20, 9
2020/10/29, 22, 8, 15, 9
2020/10/30, 16, 9, 21, 2
2020/10/31, 19, 10, 20, 1
2020/11/1, 25, 5, 22, 1
2020/11/2, 13, 8, 24, 3
2020/11/3, 13, 10, 21, 3
2020/11/4, 18, 14, 22, 3
2020/11/5, 21, 16, 21, 7
2020/11/6, 23, 10, 21, 2
2020/11/7, 18, 15, 19, 6
2020/11/8, 33, 10, 19, 6
2020/11/9, 21, 8, 15, 6
2020/11/10, 19, 16, 16, 3
2020/11/11, 46, 8, 11, 3
2020/11/12, 24, 10, 17, 3
2020/11/13, 31, 12, 20, 3
2020/11/14, 26, 13, 17, 2
2020/11/15, 39, 9, 22, 2
2020/11/16, 22, 8, 21, 2
2020/11/17, 13, 9, 19, 1
2020/11/18, 18, 10, 24, 3
2020/11/19, 19, 13, 25, 12
2020/11/20, 16, 7, 25, 1
2020/11/21, 13, 14, 25, 1
2020/11/22, 19, 9, 24, 2
2020/11/23, 13, 8, 20, 2
2020/11/24, 13, 17, 19, 4
2020/11/25, 44, 14, 16, 10
2020/11/26, 31, 16, 2, 19
2020/11/27, 37, 4, 16, 5
2020/11/28, 18, 3, 17, 4
2020/11/29, 12, 6, 16, 4
2020/11/30, 22, 9, 16, 6
2020/12/1, 33, 13, 9, 6
2020/12/2, 48, 27, 14, 3
2020/12/3, 79, 17, 12, 5
2020/12/4, 61, 17, 12, 5
2020/12/5, 61, 18, 14, 5
2020/12/6, 59, 14, 15, 2
2020/12/7, 48, 9, 13, 3
2020/12/8, 35, 12, 9, 3
2020/12/9, 46, , , 
2020/12/11, 28, 8, 13, 2
2020/12/12, 29, , , 
2020/12/14, 23, 10, 11, 5
2020/12/15, 38, 13, 14, 9
2020/12/16, 30, 10, 22, 5
2020/12/17, 32, 13, 19, 4
2020/12/18, 27, 13, 15, 4
2020/12/19, 44, 15, 11, 5
2020/12/20, 50, 15, 21, 4
2020/12/21, 40, 7, 22, 4
2020/12/22, 17, 13, 22, 8
2020/12/23, 18, 4, 17, 5
2020/12/24, 9, 6, 20, 7
2020/12/25, 15, 9, 23, 6
2020/12/26, 27, 4, 22, 1
2020/12/27, 12, 6, 20, 2
2020/12/28, 24, 8, 11, 5
2020/12/29, 31, 6, 12, 5
2020/12/30, 24, 3, 16, 2
2020/12/31, 11, 8, 16, 3
2021/1/1, 30, 8, 11, 7
2021/1/2, 30, 3, 17, 3
2021/1/3, 12, 4, 18, 4
2020/7/1, 13, 7, 22, 1
2020/7/2, 9, 7, 23, 1
2020/7/3, 12, 5, 20, 1
2020/7/4, 11, 7, 22, 
2020/7/5, 14, 10, 19, 1
2020/7/6, 14, 7, 18, 1
2020/7/7, 8, 5, 18, 1
2020/7/8, 8, 9, 23, 1
2020/7/9, 17, 7, 22, 3
2020/7/10, 15, 7, 21, 1
2020/7/11, 12, 9, 20, 
2020/7/12, 14, 9, 23, 1
2020/7/13, 14, 7, 29, 2
2020/7/14, 23, 8, 22, 3
2020/7/15, 26, 9, 23, 6
2020/7/16, 15, 6, 23, 4
2020/7/17, 17, 6, 29, 1
2020/7/18, 16, 10, 31, 3
2020/7/19, 25, 8, 19, 2
2020/7/20, 18, 7, 20, 1
2020/7/21, 9, 10, 17, 5
2020/7/22, 13, 8, 25, 2
2020/7/23, 15, 3, 20, 3
2020/7/24, 10, 6, 24, 2
2020/7/25, 13, 6, 21, 1
2020/7/26, 17, 7, 20, 1
2020/7/27, 13, 6, 19, 1
2020/7/28, 14, 8, 19, 1
2020/7/29, 12, 11, 18, 1
2020/7/30, 13, 7, 19, 3
2020/7/31, 14, 7, 23, 3
2020/8/1, 19, 6, 21, 2
2020/8/2, 14, 8, 19, 3
2020/8/3, 11, 9, 21, 2
2020/8/4, 14, 7, 26, 2
2020/8/5, 23, 12, 39, 3
2020/8/6, 28, 17, 40, 4
2020/8/7, 43, 14, 34, 5
2020/8/8, 38, 14, 30, 9
2020/8/9, 39, 13, 21, 11
2020/8/10, 36, 13, 23, 4
2020/8/11, 29, 9, 20, 4
2020/8/12, 22, 12, 22, 6
2020/8/13, 29, 15, 30, 9
2020/8/14, 31, 16, 35, 9
2020/8/15, 41, 15, 31, 10
2020/8/16, 42, 21, 38, 11
2020/8/17, 47, 23, 39, 10
2020/8/18, 49, 15, 32, 6
2020/8/19, 45, 10, 29, 3
2020/8/20, 28, 9, 30, 1
2020/8/21, 27, 13, 25, 1
